"","model","all_ok","aic","delta"
"unlist.sanity.m1..26","avNASC-sm_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,15799.7603078402,2.48861696189124
"unlist.sanity.m1..2","avNASC-depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,15848.7783317079,51.5066408295643
"unlist.sanity.m1..","avNASC-day-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,15855.1175622536,57.8458713752807
"unlist.sanity.m1..28","avNASC-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,15859.0636019236,61.7919110452822
"unlist.sanity.m1..19","avNASC-sm_day-sm_depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,15929.4790213336,132.20733045523
"unlist.sanity.m1..21","avNASC-sm_day-sm_depth-quadratic_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,15931.4707142569,134.199023378553
"unlist.sanity.m1..23","avNASC-sm_day-sm_depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,15944.1699209058,146.89823002746
"unlist.sanity.m1..27","avNASC-sm_depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,15960.0043412701,162.732650391774
"unlist.sanity.m1..7","avNASC-sm_day-depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,15977.5187922481,180.247101369796
"unlist.sanity.m1..9","avNASC-sm_day-depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,15987.8858245136,190.614133635301
"unlist.sanity.m1..13","avNASC-sm_day-linear_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,15990.6098286874,193.338137809098
"unlist.sanity.m1..15","avNASC-sm_day-quadratic_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,15992.3212605798,195.049569701479
"unlist.sanity.m1..1","avNASC-day-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,15999.1460907616,201.874399883311
"unlist.sanity.m1..3","avNASC-depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,16000.4845291357,203.212838257396
"unlist.sanity.m1..25","avNASC-sm_day-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,16000.510718424,203.239027545706
"unlist.sanity.m1..29","avNASC-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,16011.9635320417,214.691841163361
